,company names,phones,urls,emails
0,"TODO EMBALAJE PACKAGING CONSULTING, S.L.",983141699,www.todo-embalaje.es,admin@todo-embalaje.es
1,"SACOS INDEPA, S.L.",916990714,www.indepa.com,indepa@indepa.com
2,"PAPEL ARALAR, S.A.",943653050,www.papelaralar.com,info@papelaralar.com
3,"MAQUINARIA AB GRAPHIC INTERNATIONAL, S.A.",918844663,not found,not found
4,"ETIQUETAS ANVER, S.L.",937532862,www.etiquetasanver.com,anver@etiquetasanver.com
5,"DECAM TECHNOLOGY SOLUTIONS 2000, S.L.",not found,www.solutions-its.com,x.tizon@solutions-its.com
6,"ATLAS ROBOTS, S.L.",918753753,https://www.atlas-robots.com,disenoroboticaindustrial@gmail.com
7,"NOVOPRINT, S.A.",936535300,www.novoprint.es,novoprint@novoprint.es
8,"GCR PLASTIC SOLUTIONS GROUP, S.L.",977166950,not found,not found
9,"HIERROS SERVANDO FERNANDEZ, S.L.",943174759,www.servandofernandez.com,hierros@hservando.com
10,"RECICLAJES MANUEL FUENTES, S.L.",not found,http://www.fuentesehijos.es,not found
11,"FETRANS PER, S.L.",918925113,www.fetransper.es,fetransper@fetransper.es
12,"RECITOTAL, S.L.",not found,not found,recitotal@hotmail.com
13,"RECUPERACIONS AULADELL, S.A.",972171557,www.recuperacionsauladell.es,info@recuperacionsauladell.es
14,"BEUMER GROUP TECHNOLOGY IBERIA, S.L.",984180643,not found,info@tsgeiberia.com
15,"RECICLAJES LA MANCHA, S.L.",926161140,www.reciclajeslamancha.com,admon@reciclajeslamancha.com
