MUTUALIA
"CONSEJERÍA DE INCLUSIÓN SOCIAL, JUVENTUD, FAMILIAS E IGUALDAD"
"NEXT POINT CAPITAL SOCIMI, S.A."
"GSFUERTE, S.L. - GRUPO SALUD FUERTE"
"BEL EDAD ESPAÑA, S.L. (GRUPO)"
CONSEJERÍA DE BIENESTAR SOCIAL (JUNTA DE CASTILLA-LA MANCHA)
INSTITUTO CÁNTABRO DE SERVICIOS SOCIALES
"FERTILITYSC, S.L. (CLÍNICAS EVA)"
DEPARTAMENT DE SANITAT GENERALITAT VALENCIANA
HOSPITALES UNIVERSITARIOS SAN ROQUE
"GESTIÓN DE SERVICIOS RESIDENCIALES, S.COOP."
GRUPO MIGUEL ÁNGEL RAMOS CASTAÑO
SERVICIO EXTREMEÑO DE SALUD (SES)
GRUPO RESIDENCIAS CASTELLÓN
ASOCIACIÓN EDAD DORADA-MENSAJEROS DE LA PAZ
SERVEI CATALÀ DE LA SALUT (CATSALUT)
"MORETTI IBÉRICA, S.L.U."
GERUSIA SL
"HEALTHCARE ACTIVOS YIELD SOCIMI, S.A. (GRUPO HEALTHCARE ACTIVOS)"
CARDIVA
FREMAP MUTUA COLABORADORA DE LA SEGURIDAD SOCIAL
FRATERNIDAD-MUPRESPA
"WELLDER SENIOR ASSETS SOCIMI, S.A."
GRUPO ZIMMER BIOMET 
"SMITHS MEDICAL ESPAÑA, S.R.L. - ICU MEDICAL"
DIVINA SEGUROS - DIVISIÓN SALUD
"ADIAN SERVICIOS ASISTENCIALES, S.L."
"GOMÀ-CAMPS, S.A.U. - GRUPO"
"SUMINISTROS CLÍNICOS SANITARIOS, S.L. - SUCLISA"
GRUPO LA TORRETA
"SERVICIOS HOSPITALARIOS, S.L.U.  - SERHOSA"
"WIDEX AUDÍFONOS, S.A. - AURAL WIDEX AUDÍFONOS"
"RAL TÉCNICA PARA EL LABORATORIO, S.A."
"ASVAMEDIC, S.L."
"SOPHOS GESTIÓ, S.L. - GRUPO"
"JARDINS CASTELLÓ, S.L."
ÉLITE DENTAL  - GRUPO
"LA SOLANA SERVICIOS ASISTENCIALES, S.L."
FUNDACIÓ PRIVADA VELLA TERRA
"GETINGE GROUP SPAIN, S.L."
GRUPO RESIDENCIAS CG
"ATLÁNTIDA MÉDICA DE ESPECIALIDADES, S.A. DE SEGUROS"
"VEGENAT HEALTHCARE, S.L."
"EUROPA GESTIÓN GERIÁTRICA, S.L."
"EUGENIO ALÉS LLAMAS, S.A."
"CENTRO DE ATENCION INTEGRAL DE MAYORES LOS OLIVOS, S.L."
"BIHARKO GIPUZKOA, S.L."
"NHT ASISTENCIAL, S.L."
"CUIDA CARE MARKETING, S.L. (CUIDEO)"
"ENTORNO ACTIVO, S.L"
CONSELL INSULAR DE EIVISSA
"GESTIÓN HOSPITALARIA DEL SUR, S.A. (HOSPITAL SAN AGUSTÍN)"
GRUPO EL YATE - NOVOCARE
"INEPRODES, S.L."
"RESIDENCIA ENTREPINARES DEL MERCADILLO 2005, S.L."
"MIRAI GESTIÓN DE ACTIVOS, S.L."
"ALEGRÍA SERVICIOS ASISTENCIALES, S.L."
"SURGIVAL CO., S.A.U."
