ANTONIO PRIETO MAÑAS
"CODEX EXPERIENCE, S.L."
"VALLE-98, S.L."
"COMERCIAL ELÉCTRICA ALCOBENDAS, S.L."
"HORMIGONES CAVA, S.L."
"KUADRIKON GROUP, S.L."
"CARLES FONTFREDA, S.A."
"INVERSIONES GRUPO ABU, S.L."
"MATERIALES DE LA CONSTRUCCIÓN SIMONET, S.L."
"MATECON FAGOSA, S.L."
"EUROCATALANA OBRES I SERVEIS, S.L."
"EDIPLA, S.A."
"MARTÍN GAMELLA, C.B."
"FRANCESC MERCADÉ, S.L."
"POLVERO MAAN, S.L."
BMD CONSTRUCTIONS
"ALMACENES HUERTAS SANJURJO, S.L."
"CERÁMICAS TESOURO, S.A."
"GONZALEZ CAVIA Y CABRERA ARQUITECTURA URBANISMO Y PAISAJE, S.L."
"LANDINO BERMAN, S.A. (LAMBERSA)"
"LUKESON & SACKVILLE DEVELOPMENT GROUP, S.L."
"MENDIGUREN Y UGARTE, S.A."
"SITESUR CIMENTACIONES, S.L."
"MORILLO ENERGY RENT, S.A."
"MATERIALES DE CONSTRUCCIÓN PASCUAL ANTOLÍN, S.L."
"MATERIALS LA BÒBILA, S.L."
"HNOS DURÁ GÓMEZ, S.L."
AQUACENTRO
"MATERIALES DE CONSTRUCCIÓN OLIVER-MORELL, S.L."
"DISTRIBUCIÓN ACTIVA MULTISECTORIAL, S.L."
"WEBUILD GROUP, S.P.A."
"FERROCANO, S.L."
"COMERCIAL ELÉCTRICA DE SEVILLA, S.L."
"GAMMA MERKAMAT, S.L."
"MARTIFER CONSTRUCCIONES METÁLICAS ESPAÑA, S.A."
SPIE BATIGNOLLES
"SUBMINISTRAMENTS PER ENLLUMENATS I MUNTATGES, S.A."
"TODAIRE SUR, S.L."
MARÍA JOSÉ GRANERO MARTÍNEZ
"LED SMC ESPAÑA, S.L."
"BRILTEN INMOBILIARIA, S.L."
"GLOBAL DOS MANAGEMENT, S.L."
"DISTRELEC NOROESTE, S.L."
"HOMERTON PLACE, S.L."
"MASA CAPITAL, S.L."
"SUGEBE, S.L."
JOSÉ ZAMORA GALLEGO
"FCO. JAVIER MEDINA MONTORO Y HERMANOS, C.B."
"DUGAL SERVICIOS DE INTERMEDIACIÓN, S.L."
"ENFEDAQUE PÉREZ, S.L."
"STIU 3000, S.L."
"AZULEJOS Y PAVIMENTOS ALONSO, C.B."
"BARRIONUEVO MATERIALES DE CONSTRUCCIÓN, S.L."
ORASCOM DEVELOPMENT HOLDING AG
"AMARGANT CONSTRU-DEKOR, S.L."
"B 67 PALOMERAS ARQUITECTES, S.L.P."
"CUBAS LÓPEZ CALLE, S.L."
"GESTIÓN MEDEROS, S.L."
"VEOLIA SOLAR ESPAÑA, S.L."
"GRUPO BRAWLER, S.L."
"SJ OCHO PROMOCIONES Y OBRAS, S.A."
"FERRETERÍA PEDRO DURÁN, S.L."
"AFINANCE CAPITAL MANAGEMENT, S.L."
"DIID LOGÍSTICA Y DISTRIBUCIÓN, S.L."
"PLATAFORMAS ELEVADORAS MAQEL, S.L.U."
"SOCENERGY, S.L."
"SANEAMIENTOS JOSÉ LUIS RODRÍGUEZ, S.A."
COMPAC THE SURFACES COMPANY
"TAU CERAMICA SOLUTIONS, S.L."
"TK ELEVATOR MANUFACTURING SPAIN, S.L."
"PANASONIC ESPAÑA, SUC. DE PANASONIC MARKETING EUROPE GMBH - DIVISIÓN HEATING & VENTILATION AIR-CONDITIONING"
"TECE HAUSTECHNIK, SL"
"3M ESPAÑA, S.L. - DIVISIÓN CONSTRUCCIÓN"
"ADEVINTA SPAIN, S.L. (FOTOCASA)"
"ROSET KAPINVEST, S.L."
"CAÑIZOS FAURA, S.L."
"BETÓN CATALÁN, S.A."
"PORTASUR CASARICHE, S.L. (PORTASUR)"
"TK AIRPORT SOLUTIONS, S.A."
"AZPIEGITURAK, S.A."
METALUX - GRUPO
"SUMINISTROS LEGANÉS, S.L."
"CIMSA CEMENTOS ESPAÑA, S.A."
"ACTIVITAS INVERSIÓN INMOBILIARIA, S.L."
"AMBITEC SERVICIOS AMBIENTALES, S.A."
"VIZCAÍNA DE INDUSTRIA Y COMERCIO, S.L. (VINCO)"
"HIJO DE NICOLÁS BENITO, S.A."
"FERRETERÍA LA LLAVE, S.L.U."
"ENGIE SERVICIOS ENERGÉTICOS, S.L."
"ALUMED SISTEMAS, S.L."
"VILLAR MATERIALES DE CONSTRUCCIÓN, S.A."
"TRATAMIENTO INTEGRAL DEL ACERO, S.A. (DACERO)"
"ALUDIUM TRANSFORMACIÓN DE PRODUCTOS, S.L."
"CABALLERO Y HERNÁNDEZ, S.A."
"EJOT IBÉRICA, S.A."
"GRUPO RENDER INDUSTRIAL INGENIERÍA Y MONTAJES, S.L."
"FYCE 2002 DISTRIBUCIÓN, S.L. (GRUPO FYCE)"
"MTD GRUP GESTIÓ, S.L. (MATDECÓ GRUP)"
"ENERGÍA, INNOVACIÓN Y DESARROLLO FOTOVOLTAICO, S.A. (EIDF)"
"AXIS ARQUITECTURA ASSOCIATES, S.L."
"BJARKE INGELS GROUP ARCHITECTURE SPAIN, S.L.P."
OTIS MOBILITY - GRUPO
"TEJAS BORJA, S.A."
"ASFALTOS Y CONSTRUCCIONES ELSÁN, S.A."
"HOMS RENTAL, S.L."
"ROYO SPAIN, S.L."
"GENERAL DE GALERÍAS COMERCIALES, S.A."
"INDUSTRIAS QUÍMICAS IVM, S.A."
"CEPSA COMERCIAL PETRÓLEO, S.A. - DIVISIÓN ASFALTOS"
"REPSOL LUBRICANTES Y ESPECIALIDADES, S.A. - DIVISIÓN ASFALTOS"
NOVELEC - GRUPO
GRUPO RIAS - GRUPO
EGIDO - DIVISIÓN INMOBILIARIA
ALMACENES ABAD - GRUPO
STULZ ESPAÑA - GRUPO
IKASA - GRUPO
"BARPIMO COATINGS, S.A."
"INDUSTRIAL PRO THINKING BEYOND, S.L."
BIGMAT - GRUPO
"AURAY MANAGING, S.L."
"KALMAR SPAIN CARGO HANDLING SOLUTIONS, S.A."
"IBOSA GESTIÓN DE PROYECTOS INMOBILIARIOS, S.L."
"TEJAS VEREA, S.A.U."
"EXCLUSIVES TOT COLOR, S.A."
"ACTIV-GROUP - EURO ACTIV PROMOCIONES INTEGRALES DE PROYECTOS COMERCIALES, S.L. Y COMPAÑÍA, S. EN C."
"ALMACENES ELÉCTRICOS MADRILEÑOS, S.A."
"CERÁMICA, GRIFERÍA Y SANITARIOS, S.L. (CEGRISA)"
"CPS INFRAESTRUCTURAS MOVILIDAD Y MEDIO AMBIENTE, S.L."
"DISTRIBUCIÓN DE FRÍO HDF, S.L. (GRUPO HDF)"
"VAILLANT SAUNIER DUVAL, S.A.U."
"AALCO, S.L."
DAKE - GRUPO
"ROVER GRUPO EMPRESARIAL, S.L."
"ASCENSORES PERTOR, S.L."
"ALIANZA MENGUAL GROUP, S.L."
"TENDENCIAS CERAMICAS, S.L. (TENCER)"
"SORALUCE, S.COOP."
"MASAVEU INDUSTRIA, S.L."
"SAINT-GOBAIN ISOVER IBÉRICA, S.L."
"HIERROS J. OLMOS, S.A."
"SERVICIOS ELÉCTRICOS NAVARRO, S.A. (SENSA)"
"AGC FLAT GLASS IBÉRICA, S.A."
"COMERCIALIZACIÓN Y DISTRIBUCIÓN DE MAQUINARIA CYDIMA, S.L."
"NOU GRUP AGRUPACIÓN MAYORISTA DE MATERIAL ELÉCTRICO, A.I.E."
"SOUDAL QUÍMICA, S.L."
"ANIDA OPERACIONES SINGULARES, S.A."
"COMFICA SOLUCIONES INTEGRALES, S.A."
"GEOTILES, S.L."
"ORONA, S.COOP. - GRUPO"
"ARGOLA ARQUITECTOS, S.L."
"MORTEROS DE GALICIA, S.L."
"ZENKO PINTURAS, S.L."
"MURPROTEC ESPAÑA, S.L."
"EXPLOTACIÓN DE ROCAS INDUSTRIALES Y MINERALES, S.A."
"CEMENTVAL MATERIALES DE CONSTRUCCIÓN, S.L."
"PRISSMACER CERAMICA, S.L."
"ECOCERAMIC, S.L."
"DE DIETRICH THERMIQUE IBERIA, S.L."
"GESTIÓN DE INMUEBLES ADQUIRIDOS, S.L. (UNICAJA INMUEBLES)"
"BARCELONA LED ILUMINACIÓN, S.L."
"FEASGA FERRETEROS, S.L."
"NEXO 05 DISTRIBUIDORES DE FERRETERÍA, S.L."
"SIDERMETAL DISTRIBUCIÓN SIDERÚRGICA, S.L."
"PATRICIO MARTINEZ MAXIMIA TORRUELLA ARQUITECTURA, S.L. (PMMT)"
"CMV ART-CHITECTURE, S.L."
"MOQUETAS ASAN, S.A."
"FULTON SERVICIOS INTEGRALES, S.A."
"FERRETERÍA UNCETA, S.A."
"CENTRAL DE COMPRAS DE DISTRIBUCIÓN ESPECIALISTA TPA, S.L."
"ARCHITECTURE MEETS ENGINEERING, S.L. "
"INYPSA CW INFRAESTRUCTURES, S.L."
"ALBERT VITALLER ARQUITECTURA, S.L."
"CENTROCAR SPAIN-CENTRO DE EQUIPAMIENTOS MECÁNICOS, S.L."
"VIVENIO RESIDENCIAL SOCIMI, S.A."
"ALAMO INDUSTRIAL, S.A."
"ALIBUILDING, S.L."
"SIMETRIA FIDENTIA, S.L."
"SOLUCIONES TECNOLÓGICAS PARA EL HOGAR OKEY, S.L.U."
"POREXGAL, S.L."
"GRUPALCO CENTRAL DE COMPRAS DE ALMACENES DE CONSTRUCCIÓN, S.L."
ARGENTA  - GRUPO
"LEZAMA DEMOLICIONES, S.L."
"INGENIERÍA Y APLICACIONES SOLARES ZARAGOZA 2005, S.L. "
"HOLCIM SOLUTIONS AND PRODUCTS SPAIN, S.L."
"LANDCOMPANY 2020, S.L."
"HERCESA OBRAS Y PROYECTOS, S.L."
LUIS MARTÍNEZ BENITO (LMB) - GRUPO
"ESTRATEGIAS BIGMAT, S.L.U. - BIGMAT LA PLATAFORMA"
"DOMINION INDUSTRY & INFRASTRUCTURES, S.L."
"ADIANTE INFRAESTRUCTURAS, S.A."
"CONSTRAULA, S.A."
"ALCUDIA SERVICIOS Y OBRAS, S.L."
"CONSTRUCCIONES PEDRO FRANCISCO FERRÁ TUR, S.L."
"NUICON CONSTRUCCIONES Y PROYECTOS, S.A."
"CONSTRUCCIONES ACOSTA MATOS, S.A."
"AQUATERRA SERVICIOS INFRAESTRUCTURAS, S.L."
"LLORCA GROUP HISPANIA, S.L."
"CALIDAD ORGANIZACIÓN Y VIVIENDA, S.L. (QODA CONSTRUCCIONES)"
"CITANIAS OBRAS Y SERVICIOS, S.L.U."
"SOLDUCT, S.L."
"PROFORMA EJECUCIÓN DE OBRAS Y RESTAURACIONES, S.L."
"EIGO GESTIÓN DE OBRAS, S.L."
"MAGNA GENERAL CONTRACTORS, S.L."
"ALMACENES Y ESPACIOS INDUSTRIALES, S.L."
"OPERA SEVERITAS, S.L."
"SÁNCHEZ Y LAGO, S.L."
"FARAMAX TRAFO, S.L."
"COMERCIAL DE INDUSTRIA Y REPRESENTACIONES, S.L. (CIR62)"
"CANO Y ESCARIO ARQUITECTURA, S.L.P."
SOPREMA - GRUPO
"ASSA ABLOY GLOBAL SOLUTIONS IBÉRICA, S.L."
"EUROPEAN HOME APPLIANCES SPAIN, S.A. - WHIRLPOOL"
"ELECTRO AVILÉS, S.A. (EASA)"
"NORDÉS ANCÍN, S.A."
"S.T.V. GESTIÓN, S.L."
BENITO URBAN - GRUPO
"SILICON VALEN, S.L."
"SETEC BUILDING, S.L."
"TECHNOFORM BAUTEC IBÉRICA, S.L.U."
"AV ALUMITRÁN, S.L."
"ACTIVUM GESTIÓN DE PROYECTOS INMOBILIARIOS, S.L."
DIMOLDURA - GRUPO
SEPES ENTIDAD PÚBLICA EMPRESARIAL DE SUELO
AIRTIFICIAL INTELLIGENCE STRUCTURES - GRUPO
KREAN - GRUPO
"AUTOMOCIÓN Y MOVILIDAD HISPANIA, S.L. (FORD TRUCKS ESPAÑA)"
"LEÓN COATED SOLUTIONS, S.L."
"AVINTIA DESARROLLOS INMOBILIARIOS, S.L."
HERCESA - GRUPO
"VBH IBERIA, S.L."
"GESTOGAR OFIMÁTICO, S.L."
"HVAC CLIMA SERVICIO Y CONTROLES IBERIA, S.L."
"TECNOLOGÍA SERVICIOS Y SOLUCIONES T2S, S.L."
EUROGRÚAS HOLDING CORPORATIVO - GRUPO
GRUPO GS
"GESIN EURO-2001, S.L."
"HEIDELBERG MATERIALS HISPANIA HORMIGONES, S.L."
"COSERMO ESPAÑOLA CONSTRUCCIONES SERVICIOS Y MONTAJES, S.L."
ELECTRO MERCANTIL - GRUPO
"SHERWIN-WILLIAMS SPAIN COATINGS, S.L."
"MEZCLAS BITUMINOSAS, S.A. (MEBISA)"
"GRUSAMAR INGENIERÍA Y CONSULTING, S.L."
CORTIZO - GRUPO
HINES SPAIN
"COLLIERS INTERNATIONAL SPAIN, S.L."
SYSTRA IBERICA (GRUPO)
"AECOM SPAIN DCS, S.L."
"ALUMINIO Y CARPINTERÍA, S.A. (ALCAR)"
"PROTECCIONES Y LACADOS, S.L. (PROYLAC)"
"DIR INTERNATIONAL TRADING, S.L. (DIR LIUGONG)"
"WINKHAUS IBÉRICA, S.A."
"AQ ACENTOR DEVELOPMENT, S.A."
"SOLUCIONES TÉCNICAS MTECH, S.L."
"ADEMCO ADI GLOBAL DISTRIBUTION, S.L."
"JUNG ELECTRO IBÉRICA, S.A."
"NORSUM BILAZU, S.L."
INSTITUT CATALA DEL SOL (INCASOL)
"PLADEX IBERIA, S.L."
"KNIGHT FRANK ESPAÑA, S.A."
"CADIELSA GRUPO, S.L."
"GRUPO PUYA 68, S.L."
"COMERCIAL ELÉCTRICA DEL LLOBREGAT, S.A."
"SUAREP Y LLADÓ, S.A."
"EUROCASA SUMINISTROS, S.L."
"RUBIX IBERIA, S.A.U."
"CHAVES BILBAO, S.L."
"CENTRO DE VENTAS INTERNACIONALES KOMERCIAL, S.A. (CEVIK)"
"HIERROS ALFONSO, S.L."
"CAÑIZARES PIÑERO, S.A."
JAB - GRUPO
"ESTUDIO ARQUESTA, S.L."
"HORMIGONES DEL ODÓN, S.L."
"CALVENTE BÓBILA, S.L."
"DOCO TECHNOLOGIES, S.L.U."
"NIDRA HOMES, S.L."
TU CASA - GRUPO
"BAYWA R.E. PROJECTS ESPAÑA, S.L."
"HOMAG ESPAÑA, S.A."
"FRANS BONHOMME ESPAÑA, S.L. "
"ASCALE TECH, S.L."
"NOVELEC EBRO, S.L."
"ARGIS REAL ESTATE, S.L."
VAPF - GRUPO
"ALPHA AIGOSTAR, S.L.  "
"FERRETERIA ECHEGARAY, S.L."
"EXTRUSIONES DE TOLEDO, S.A. (EXTOL)"
"HIERROS MARCELINO FRANCO, S.A. (HIFRANSA)"
"FAUS INTERNATIONAL FLOORING, S.L."
"STANLEY BLACK & DECKER IBÉRICA, S.L."
"LA ESPECIALISTA DISTRIBUIDORA DE SISTEMAS CONSTRUCTIVOS, S.L."
"AVA ARQUITECTURA TECNICA Y GESTION, S.L."
CEALCO
"GRÚAS SAEZ, S.L."
"WÜRTH MODYF, S.A."
"DOVALUE SPAIN SERVICING, S.A."
PRYCONSA - GRUPO
RESIBLOCK - GRUPO
"SACYR PROYECTA, S.A."
"SOSTREPLAC BCN, S.L."
"PRESTO IBÉRICA, S.A."
"IBÉRICA DE REVESTIMIENTOS GRUPO EMP, S.L.U."
DUPLACH GROUP SAU
GRUPO HECA
KINGSPAN ESPAÑA - GRUPO
"TECLISA ILLES BALEARS, S.L."
"NEOPRO SERVICIOS INTEGRALES DE FERRETERÍA, S.L."
"HAULOTTE IBÉRICA, S.L."
BME SPAIN 
"ONCLIMA TT DISTRIBUCION ACTIVA MULTISECTORIAL, S.L."
"LÓPEZ REAL INVERSIONES 2021, S.L. (LRi21)"
"QUALITY FERRETERÍAS PLUS, S.C.C.L."
"UNECOL ADHESIVE IDEAS, S.L."
"CERÁMICA LA COMA, S.A."
"HIJOS DE FRANCISCO MORANT, S.L. (LA ESPERANZA)"
"KRION SOLID SURFACE, S.A."
AGENCIA DE LA VIVIENDA Y REHABILITACIÓN DE ANDALUCÍA (AVRA)
"COMERCIAL ARROYO CONSTRUCCIÓN, S.A."
"JOAQUÍN VERDÚ DÍAZ, S.L.U."
"EUROTEX TCH, S.A."
"LA VENECIANA, S.A. (SAINT-GOBAIN GLASSOLUTIONS)"
"WOLF GROUP IBÉRICO, S.A."
"VIUDA DE RAFAEL ESTEVAN GIMÉNEZ, S.L."
"PRODUCTOS Y SISTEMAS APLICADOS, S.A. (PROSISTEMAS)"
"GALIPÁN, S.A."
"FOMENTO Y GESTIÓN, S.A. (FOGESA)"
"SUMINISTROS FÉRREOS PARA ALMACENISTAS, S.A."
"ALMACÉN GENERAL DE SIDERÚRGICAS, S.A."
"MADERAS PORTU, S.A."
"ARISTOS INDUSTRIAL, S.L."
"FAGOR AUTOMATION, SDAD. COOP."
"PRONIMETAL, S.L."
"FEGIME ESPAÑA, S.A."
"KILOUTOU ESPAÑA, S.A."
"VEOLIA WATER SYSTEMS IBÉRICA, S.L."
"SAMSUNG ELECTRONICS IBERIA, S.A. - DIVISIÓN AIRE"
"PERFILADOS DEL NORTE, S.A. (PERFINOR)"
"SUMINISTROS ELÉCTRICOS Pº DE LA DIRECCIÓN, S.L."
REDIMA IBÉRICA - GRUPO
"OBREMO TELECOMUNICACIONES, S.L."
"UNYCO (CEMENCROSS, S.L.)"
"BATLLE I ROIG ARQUITECTURA, S.L.P."
"GRUPO CEMATEL, S.L."
"VILLAVIÑAS, S.L."
"VÍVEME REAL ESTATE MANAGEMENT, S.L."
"NEINOR NORTE, S.L."
"BAUMIT, S.L."
"VERTISOL INTERNACIONAL, S.R.L."
"TESTA RESIDENCIAL SOCIMI, S.A."
"SUMINISTROS IBIZA DE INVERSIONES Y CORPORACIÓN, S.L."
"TECOZAM ESTRUCTURAS Y DRENAJES, S.L."
"GALIVIVIENDA, S.C."
"TAU PORCELÁNICO, S.L."
"LAFINCA REAL ESTATE MANAGEMENT, S.L."
"MAC-PUAR CIM, S.L."
"GATE PIZARRAS, S.L."
"PLIXXENT, S.L."
"JOFEME, S.A."
" TOI TOI SANITARIOS MÓVILES, S.A."
"EMEDEC, S.L."
"HIPOGES IBERIA, S.L."
"GREYSTAR SPAIN, S.L."
"CUPA STONE IBERIA, S.L."
"SOCIEDAD AZUCARERA LARIOS INMOBILIARIA, S.L. (SALSA INMOBILIARIA)"
ARMANGUE - GRUPO
"ELEKTRA CANARIAS XXI, S.L."
"DIVARIAN PROPIEDAD, S.A."
"AGHASA TURIS, S.A."
"QS ADHESIVES & SEALANTS, S.L."
"ELSAMEX GESTIÓN DE INFRAESTRUCTURAS, S.L."
"ALVIPRE FACTORY, S.L."
"IQUORD, S.L."
"ID ENERGY GROUP, S.A."
"LATEM ALUMINIUM, S.A."
"FRECAN, S.L.U."
"LANTANIA, S.A.U."
"FONSÁN-GESTIÓN Y CONSTRUCCIÓN, S.L."
"ASFALTOS DEL SURESTE, S.L."
"KRYPTON CHEMICAL, S.L."
"TYLIN SPAIN, S.L."
"MATÍAS ARROM BIBILONI, S.L. (MAB OBRAS PÚBLICAS)"
"CONSTRUCCIONES SUKIA ERAIKUNTZAK, S.L."
"ARQUITECTURA INGENIERÍA Y CONSTRUCCIÓN LOBE, S.A."
"COMERCIALIZADORA MEDITERRÁNEA DE VIVIENDAS, S.L. (COMERVI)"
"JOAQUÍN PÉREZ ARROYO, S.L."
"CONTRATAS PÚBLICAS DEL NORTE, S.L. (COPUNO)"
"VÍA CÉLERE GESTIÓN DE PROYECTOS, S.L."
"4 RETAIL 2012, S.L."
"ALCALANS PROMOTORA, S.L."
"GAILUR TALDEA ERAIKUNTZAK, S.L."
"MARCO INFRAESTRUCTURAS Y MEDIO AMBIENTE, S.A."
"SOLDESER, S.L."
"FTC OBRAS Y ENERGÍA, S.A."
"GEOXA GENERAL DE CONSTRUCCIONES, S.L."
"CEOS GESTIÓN Y SERVICIOS, S.A.U."
"JAMENA CONSTRUCCIONES, S.L."
"OBRAS ESPECIALES EDIFICACIÓN E INFRAESTRUCTURAS, S.A.U."
"INTEGRACIÓN EXACTA ORGANIZADA, S.A. (INEXO)"
"URANSA MANTENIMIENTO INTEGRAL, S.L."
GLOBAL NORIA - GRUPO
"CBRE GWS ESPAÑA, S.L."
"HORMIPRESA CENTRO SUR, S.L."
"DOMINGO LAREDO, S.L."
"INDUSTRIAS METÁLICAS ANRO, S.L."
"INTERMONTE INVESTMENTS, S.A."
"HOLCIM ESPAÑA, S.A."
"EL SILBO CONSTRUCCIONES Y OBRAS, S.L."
"INSAE INFRAESTRUCTURAS, S.A."
"TYLIN EUROPE LATAM, S.L."
"GECOL ADHESIVOS Y REVESTIMIENTOS, S.L.U."
"CELO FIJACIONES, S.L."
"ALYCO TOOLS, S.A."
"CONSTRUCCIONES FHIMASA, S.A."
"TORRES Y SAEZ, S.A.U."
"SUMINISTROS ELÉCTRICOS COTO, S.L. (COTO)"
"GSI DOTACIÓN INDUSTRIAL, S.L."
"TALLERES Y GRÚAS ESTACIÓN, S.L."
"ARCELORMITTAL CONSTRUCCIÓN ESPAÑA, S.L."
NETWORK STEEL RESOURCES (NSR) - GRUPO
"ITT DYNAMICS, S.L."
"TELÉFONOS LÍNEAS Y CENTRALES, S.A. (TELICE)"
"CONSTRUCÍA INSTALACIONES, S.L."
"CONSTRUCCIONES DE LAS CONDUCCIONES DEL SUR, S.A.U. (COTRONIC)"
HERCAL - GRUPO
GS INIMA ENVIRONMENT - GRUPO
TABIGAL - GRUPO
ABU SEVILLA - GRUPO
SEG INGENIERÍA - GRUPO
"GCI CENTRAL DE COMPRAS INDUSTRIALES Y SERVICIOS, S.L."
ESTEBA - GRUPO
"SERVICIOS PROFESIONALES PARA COLECTIVOS, S.A. (SERPROCOL)"
"JONES LANG LASALLE ESPAÑA, S.A. (JLL)"
VIQUEIRA - GRUPO
"RANDAL EUROPEA, S.A."
"FITTINGS ESTANDAR, S.L."
"SERVICIOS INTEGRALES DE MANTENIMIENTO ALGA, S.L."
"ACTEMIUM ASAS, S.L."
"SMART TECH IBD GLOBAL SOLUTIONS, S.L."
"MANTENIMIENTO Y MONTAJES INDUSTRIALES, S.A. (MASA)"
"FIBRATEL, S.L."
"METALGIPS EUROPA, S.L."
"MOMENTUM REAL ESTATE, S.L."
BC3 COCINAS
"ENGEL SOLAR RENOVABLES, S.L."
"KINGSPAN SHAPED SOLUTIONS , S.L."
"ELECTRO MERCANTIL EXTREMADURA DAM, S.L."
"CENTRAL DE COMPRAS Y SERVICIOS DE FERRETERÍA NCC, S.L."
"DECOPLACK SOLUCIONES CONSTRUCTIVAS, S.L."
"DYCTEN SXXI, S.L."
PUJOL - GRUPO
"EIFFAGE METAL ESPAÑA, S.L.U."
"SEGRO PROPERTIES SPAIN, S.L."
"GENESAL ENERGY IB, S.A."
"HEIDELBERG MATERIALS HISPANIA CEMENTOS, S.A."
"ELECNOR SERVICIOS Y PROYECTOS, S.A."
"PROLOGIS SPAIN MANAGEMENT, S.L."
"HERCAL DIGGERS, S.L."
"GONVARRI SOLAR STEEL, S.L."
MANUSA - GRUPO
INGENIERÍA Y SUMINISTROS ASTURIAS (ISASTUR) - GRUPO
"STRUGAL 4, S.L."
"SERVICIOS Y SUMINISTROS AUXITEC, S.L."
"TORRE RIOJA MADRID SOCIMI, S.A.U."
"NAZAN PVC, S.L."
"FASSA HISPANIA, S.L."
"ASTURIANA DE LAMINADOS, S.A."
ESCOGECASA - ABANCA DIVISIÓN INMOBILIARIA
"HAIZEA BILBAO, S.L."
"DUNAS CAPITAL REAL ESTATE, S.L."
"SOMFY ESPAÑA, S.A."
"GRUPO SATOCAN, S.A."
"CABLENA, S.A."
