,company names,phones,urls,emails
0,"AMADO SALVADOR, S.A.",961120500,www.amadosalvador.es,amadosalvador@amadosalvador.es
1,"HIMIN SOLAR, S.L.",966660547,www.himin.es,contact@himin.es
2,"SERVIHABITAT SERVICIOS INMOBILIARIOS, S.L.",966931176,www.abaco-servicios-inmobiliarios.es,not found
3,"SIEMENS RAIL AUTOMATION, S.A.",not found,not found,not found
4,"ELECTRICIDAD GUERRA, S.A.",941232600,www.grupoelektra.es,guerra@electricidadguerra.com
5,"GUARDIAN LLODIO UNO, S.L.",946719509,www.guardianglass.com,justyna.dasilva@kochind.com
6,"JOMAR, S.A.",not found,not found,not found
7,"IMERYS PERLITA BARCELONA, S.A.",not found,https://ranking-empresas.eleconomista.es/ranking_empresas_nacional.html,not found
8,"FOSROC EUCO, S.A.",946217160,www.fosroc.com,spain@fosroc.com
9,"APALLISER, S.L.",971357300,www.apalliser.com,informacion@apalliser.com
10,"VISANFER, S.A.",968420319,www.visanfer.com,contabilidad1@visanfer.com
11,"EURO ELECTRO INDUSTRIAL, S.A.",946009078,www.eurisa.es,administracion@eurisabilbao.com
12,"ENERGEMA, S.A.",971256085,www.grupoelektra.es,jlarranaga@elektra-sa.es
13,"AGC PEDRAGOSA, S.A.",934670760,www.agc-glass.eu,info@agc.eu.agc.com
14,"RODACAL BEYEM, S.L.",967440018,www.rodacal.com,contabilidad@rodacal.com
15,"ECOASFALT, S.A.",915757230,www.ecoasfalt.es,ecoasfalt@ecoasfalt.es
16,"EPIFANIO CAMPO, S.L.",981605053,www.ceramicacampo.es,comercial.lendo@ceramicacampo.com
17,TM GRUPO INMOBILIARIO,not found,not found,not found
18,"MELD TECNIA INSTALACIONES, S.L.",954185588,www.meldsl.com,info@meldsl.com
19,"BOFILL ARQUITECTURA, S.L.",934999900,www.ricardobofill.com,tallerbcn@bofill.com
20,"DIFUSION HIDRAULICA LLUIS, S.A.",972525012,www.dhlluis.com,info@dhlluis.com
21,"ASCENSORES TRESA, S.A.",916751373,not found,not found
22,"ALUMINIOS AYUSO, S.L.",914852750,www.grupoayuso.org,info@grupoayuso.org
23,"HIERROS COLMENAR, S.A.",918464500,www.hierroscolmenar.com,gusbermejo@hcolmenar.com
24,"INTERMAHER, S.A.",945466106,www.intermaher.com,intermaher@intermaher.com
25,"FAJOVI, S.L.",966780424,www.fajovi.com,administraccion@fajovi.com
26,"COFUNCO, S.A.",938034697,www.cofunco.com,comercial@cofunco.com
27,"FUSTES EST, S.A.",972205350,www.esteba.com,info@esteba.com
28,"MADERAS LARRETA, S.L.",948234686,mailto:anabel@maderaslarreta.com?subject=Contacto desde https://empresite.eleconomista.es,anabel@maderaslarreta.com
29,"GEBERIT, S.A.U.",900232425,www.geberit.es,info.iberia@geberit.com
30,"HIAB CRANES, S.L.",976579800,mailto:reception.invoices@hiab.com?subject=Contacto desde https://empresite.eleconomista.es,reception.invoices@hiab.com
31,"JU JU JU AQUA CENTER, S.L.",963516284,www.aqua-multiespacio.com,informacion@aqua-multiespacio.com
32,"ENCOFRADOS CASTELL, S.L.",938467872,www.encofradoscastell.com,encofradoscastell@ecastell.com
33,"ISOPRACTIC, S.L.",938182550,www.isopractic.es,administracion@isopractic.es
34,"NEOFLEX, S.L.",966611101,www.neoflex.es,neoflex@neoflex.es
35,"ESTEYCO, S.A.P.",913597878,www.esteyco.com,esteyco@esteyco.com
36,"BONGRUP BALEARES, S.L.",971430411,www.bongrup.es,info@bongrup.es
37,"VIDAL Y ASOCIADOS ESTUDIO DE ARQUITECTURA, S.L.",965929445,mailto:vidalymolina@gmail.com?subject=Contacto desde https://empresite.eleconomista.es,vidalymolina@gmail.com
38,"COMFRED SUMINISTROS, S.L.",973221150,www.comfred.es,suministros@comfred.es
39,"GALEKTRA XXI, S.L.",986494112,www.grupoelektra.es,galektra@galektra.es
40,"SANTOS EQUIPAMIENTOS INTERIORES, S.L.",981566448,www.santos.es,santos@santos.es
41,"TECNIQUES DE CLIMA I SANITARI, S.L.",not found,not found,not found
42,"ARMANGUE I FERRALLES, S.L.",977608941,www.armangue.net,armanifer@armangue.net
43,"BAC ENGINEERING CONSULTANCY GROUP, S.L.",not found,not found,not found
44,"PINEARQ, S.L.",932106819,www.pinearq.es,pinearq@pinearq.com
45,"COMPACGLASS, S.L.",964507500,www.pamesa.com,nacional@pamesa.com
46,"GESARQUS 2008, S.L.",945151521,www.gesarqus.es,info@gesarqus.es
47,"BIURBAN, S.L.",944303246,www.biurban.com,not found
48,"PROFER SERVICIOS INTEGRALES, S.L.",917324963,www.profer.es,info@profer.es
49,"NOVATILU, S.L.",not found,not found,not found
50,ARQUITECTOS GARCIA ALBA S.L.P.,917152914,www.agas.es,agas@agas.es
51,"FRANCISCO JURADO OLMO, S.L.",957770645,www.juradoolmo.es,administracion@juradoolmo.es
52,FERROVIAL - GRUPO,913008500,not found,not found
53,VELATIA - GRUPO,944868676,www.velatia.com,administracion@gosagestion.com
54,"HOCENSA EMPRESA CONSTRUCTORA, S.A.",949200059,www.hocensa.com,jmsalgado@hocensa.com
55,"GOMENDIO CONSTRUCTORES, S.A.",912294200,www.gomendio.com,grupo@gomendio.es
56,"CERTIS OBRES I SERVEIS, S.A.",938890370,mailto:certis@certis.cat?subject=Contacto desde https://empresite.eleconomista.es,certis@certis.cat
